ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
222.042,-1.00909,345.016,450.954,0.622631,542.959,43.3468,444.195,2.96653,1.63287,705.351,0.295831,0.372678,0.655557,0.688019,133.464,1.01989
164.802,0.468627,183.232,517.589,0.697555,653.647,80.2401,361.611,1.24675,3.12212,695.048,0,0.506422,0.601993,0.736267,309.776,2.20249
294.708,-0.754158,382.565,178.776,0.731827,230.406,26.9439,152.092,1.02445,1.50424,162.789,0.109412,0.817108,0.487617,0.858545,789.309,2.57536
190.478,-1.40158,410.27,471.509,-1.9245,1651.24,70.4765,380.68,1.74266,2.75744,2048.01,0.0264649,0.356494,0.469083,0.560136,264.719,1.38765
224.217,-0.183959,228.021,421.52,-0.0947151,431.012,80.5811,553.751,3.06661,0.150148,1225.81,0.150229,0.283801,0.411626,0.47788,457.486,2.92055
352.735,0.692658,440.79,607.104,0.544967,708.519,112.635,776.81,0.835685,2.97402,809.191,0.0416589,0.265693,0.60626,0.635927,279.528,0.302126
137.99,-1.3594,286.375,316.57,1.98072,1169.99,46.2223,669.864,3.27793,2.59026,963.84,0.315275,0.715348,0,0.079499,13.437,0.0245165
197.39,1.38391,418.571,188.386,0.447633,207.982,12.9658,142.155,0.89677,1.03701,152.969,0.135912,0.173212,0.470331,0.533797,151.405,1.63122
109.122,1.43662,242.48,155.836,-0.654281,194.982,42.029,264.26,2.6492,2.09334,843.42,0.398807,0.457198,0.438424,0.629673,391.256,3.07021
170.226,-0.00386612,170.227,126.179,-1.93043,444.086,8.85354,230.33,2.35987,1.96547,1883.49,0.225714,0.292881,0.511419,0.67875,95.365,1.04077
97.2474,1.60784,252.47,161.227,-0.704866,203.996,20.4952,113.502,0.712394,3.53037,240.119,0.104666,0.174998,0.0883738,0.385021,68.3831,1.93303
152.303,0.888336,216.455,138.643,-0.880111,196.71,17.8778,452.002,2.86053,2.93124,413.981,0.250293,0.346624,0,0.121699,167.811,0.664175
312.911,1.05482,503.742,164.976,0.748272,213.828,14.1761,130.314,0.793478,2.63948,1741.72,0.0920362,0.307613,0.642576,0.827726,289.772,0.775632
154.221,0.144237,155.828,166.16,0.797927,222.486,15.8197,195.954,1.88856,0.653918,412.959,0.653455,0.687068,0.0702453,0.43743,72.5062,1.07573
163.995,-0.549385,189.373,168.942,-0.489225,189.984,12.5945,202.348,2.07596,0.530366,572.878,0.338375,0.361825,0.275693,0.432946,95.6798,1.43262
295.888,-0.945416,438.27,175.93,-1.94525,628.411,24.8126,312.509,1.70779,1.15047,954.595,0.25652,0.62181,0.34946,0.386719,118.851,1.26526
217.948,0.519091,247.977,197.282,2.61282,1352.69,25.5385,620.352,3.07444,2.99346,2352.14,0.334114,0.529345,0.321533,0.421703,166.524,1.32985
237.901,0.495727,267.736,299.442,-0.106431,302.469,28.3245,503.9,2.74827,2.5232,1001.87,0.402354,0.474542,0.271647,0.540303,177.701,2.15677
149.33,-0.676454,184.819,213.038,0.182738,218.415,28.0618,314.128,2.41931,0.898439,2645.8,0.105286,0.2791,0.341899,0.552598,226.717,3.15438
161.589,-0.0861102,162.188,215.151,0.440219,236.755,14.0541,429.862,2.90467,1.98355,708.402,0.106699,0.472539,0.27023,0.44892,151.415,1.01177
166.064,-0.0725456,166.501,244.633,0.50028,278.057,34.6458,623.376,2.97798,0.600366,1156.47,0.419854,0.467747,0.387259,0.525265,540.173,0.828778
303.528,0.369571,324.493,148.733,1.76347,446.741,14.5895,298.447,2.41936,1.54203,1138.85,0.188331,0.49821,0.474835,0.53576,276.362,2.84515
450.817,0.110501,453.572,549.91,-1.2881,1073.98,50.4185,388.004,2.29784,3.42825,1820.06,0.293578,0.684356,0.488269,0.868014,271.44,2.97592
128.467,-1.89864,438.495,184.292,-0.468912,208.267,37.1514,135.051,1.15891,1.44644,938.609,0.297937,0.418412,0.381411,0.642569,196.925,2.48286
208.824,0.289815,217.655,232.816,1.03927,370.792,19.5297,428.174,2.31001,1.10227,1211.86,0.0856815,0.0910853,0.571556,0.598189,317.614,3.2204
